"","id","celebrate","main_dish","main_dish_other","main_prep","main_prep_other","stuffing","stuffing_other","cranberry","cranberry_other","gravy","side1","side2","side3","side4","side5","side6","side7","side8","side9","side10","side11","side12","side13","side14","side15","pie1","pie2","pie3","pie4","pie5","pie6","pie7","pie8","pie9","pie10","pie11","pie12","pie13","dessert1","dessert2","dessert3","dessert4","dessert5","dessert6","dessert7","dessert8","dessert9","dessert10","dessert11","dessert12","prayer","travel","watch_program","kids_table_age","hometown_friends","friendsgiving","black_friday","work_retail","work_black_friday","community_type","age","gender","family_income","us_region"
"14",4337878450,"Yes","Turkey",NA,"Baked",NA,"Rice-based",NA,"Homemade",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad",NA,NA,NA,"Apple",NA,"Cherry","Chocolate",NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,"Brownies",NA,NA,"Cookies",NA,NA,NA,NA,NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in",NA,"12","Yes","Yes","Yes","No",NA,"Urban","18 - 29","Male","$0 to $9,999","Middle Atlantic"
"15",4337878351,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"Homemade",NA,"Yes",NA,NA,NA,"Corn",NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad","Yams/sweet potato casserole",NA,NA,NA,NA,NA,"Chocolate",NA,NA,NA,"Pecan","Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"No","Thanksgiving is local--it will take place in the town I live in",NA,"10 or younger","No","No","No","No",NA,"Rural","60+","Male","$50,000 to $74,999","West North Central"
"16",4337857295,"Yes","Turkey",NA,"Roasted",NA,"Rice-based",NA,"Canned",NA,"Yes",NA,NA,NA,NA,NA,NA,"Green beans/green bean casserole","Macaroni and cheese",NA,NA,NA,NA,"Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweet Potato",NA,NA,NA,NA,NA,NA,"Carrot cake",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in",NA,"12","Yes","Yes","No","No",NA,"Suburban","30 - 44","Male","$200,000 and up","Pacific"
"17",4337856362,"Yes","Turducken",NA,"Roasted",NA,"Bread-based",NA,"Homemade",NA,"Yes",NA,NA,NA,"Corn","Cornbread",NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits","Squash",NA,"Yams/sweet potato casserole",NA,NA,NA,NA,"Cherry",NA,NA,NA,NA,"Pecan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in","Macy's Parade","10 or younger","Yes","Yes","Yes","Yes","Doesn't apply","Suburban","30 - 44","Male","$200,000 and up","Pacific"
"18",4337854106,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"None",NA,"Yes",NA,"Carrots",NA,"Corn",NA,NA,NA,NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,"Apple cobbler",NA,NA,NA,NA,"Cookies",NA,"Ice cream",NA,NA,NA,NA,"No","Thanksgiving is happening at my home--I won't travel at all",NA,"15","No","Yes","Yes","No",NA,"Urban","18 - 29","Male","$75,000 to $99,999","East North Central"
"19",4337844879,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Canned",NA,"Yes",NA,NA,NA,NA,NA,"Fruit salad",NA,NA,NA,NA,NA,"Vegetable salad","Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,NA,"Pecan","Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"Yes","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"10 or younger","No","No","No","No",NA,"Suburban","30 - 44","Male","$25,000 to $49,999","Mountain"
"20",4337823612,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"Canned",NA,"Yes",NA,NA,NA,"Corn",NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,NA,NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in","Macy's Parade","10 or younger","Yes","No","No","No",NA,"Rural","30 - 44","Male","$75,000 to $99,999","East North Central"
"21",4337820281,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Homemade",NA,"Yes","Brussel sprouts",NA,NA,"Corn","Cornbread",NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"No","Thanksgiving is out of town and far away--I have to drive several hours or fly","Macy's Parade","10 or younger","Yes","Yes","No","No",NA,"Urban","30 - 44","Male","$75,000 to $99,999","Pacific"
"22",4337813502,"Yes","Turkey",NA,"Fried",NA,"None",NA,"Homemade",NA,"Yes",NA,NA,"Cauliflower","Corn","Cornbread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buttermilk","Cherry","Chocolate","Coconut cream",NA,NA,NA,NA,NA,NA,NA,NA,"Apple cobbler","Blondies","Brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Thanksgiving is happening at my home--I won't travel at all",NA,"15","Yes","Yes","Yes","Yes","Yes","Urban","18 - 29","Male","$0 to $9,999","Pacific"
"23",4337809020,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18 - 29","Male","$0 to $9,999","Middle Atlantic"
"24",4337793158,"Yes","Turkey",NA,"Baked",NA,"Rice-based",NA,"Homemade",NA,"Yes",NA,"Carrots","Cauliflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apple","Buttermilk","Cherry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brownies",NA,"Cheesecake",NA,NA,NA,NA,NA,NA,NA,"Yes","Thanksgiving is happening at my home--I won't travel at all",NA,"10 or younger","No","No","No","No",NA,"Urban","18 - 29","Male","$0 to $9,999","Pacific"
"25",4337792130,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"None",NA,"Yes",NA,NA,NA,NA,NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pecan","Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peach cobbler",NA,NA,NA,"Yes","Thanksgiving is out of town and far away--I have to drive several hours or fly","Macy's Parade","15","Yes","Yes","Yes","No",NA,"Suburban","30 - 44","Female","$50,000 to $74,999","West South Central"
"26",4337790002,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"Homemade",NA,"Yes","Brussel sprouts","Carrots","Cauliflower","Corn","Cornbread",NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits","Squash",NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,"Cherry","Chocolate","Coconut cream","Key lime","Peach","Pecan","Pumpkin","Sweet Potato",NA,NA,NA,"Apple cobbler",NA,"Brownies","Carrot cake","Cheesecake","Cookies","Fudge","Ice cream",NA,NA,NA,NA,"No","Thanksgiving is out of town but not too far--it's a drive of a few hours or less","Macy's Parade","10 or younger","No","No","No","No",NA,"Rural","18 - 29","Male","$200,000 and up","Middle Atlantic"
"27",4337783794,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"Canned",NA,"Yes","Brussel sprouts","Carrots",NA,NA,NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,NA,NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,"Brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Thanksgiving is local--it will take place in the town I live in",NA,"10 or younger","No","No","No","No",NA,"Urban","30 - 44","Male","$50,000 to $74,999","South Atlantic"
"28",4337779071,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"Canned",NA,"Yes",NA,NA,NA,NA,"Cornbread",NA,"Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice cream",NA,NA,"Other (please specify)","Sparkling Apple Cider","Yes","Thanksgiving is local--it will take place in the town I live in",NA,"10 or younger","Yes","Yes","Yes","Yes","Yes","Suburban","18 - 29","Male","$100,000 to $124,999","East North Central"
"29",4337778119,"Yes","Other (please specify)","Varies","Baked",NA,"Bread-based",NA,"Homemade",NA,"Yes","Brussel sprouts","Carrots",NA,NA,NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes",NA,NA,NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,"Chocolate",NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"No","Thanksgiving is happening at my home--I won't travel at all","Macy's Parade","10 or younger","No","Yes","No","No",NA,"Urban","30 - 44","Female","Prefer not to answer","Pacific"
"30",4337774090,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"None",NA,"Yes",NA,NA,NA,"Corn",NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad",NA,NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"Yes","Thanksgiving is happening at my home--I won't travel at all","Macy's Parade","10 or younger","No","No","No","No",NA,"Urban","30 - 44","Male","$75,000 to $99,999","Pacific"
"31",4337772882,"Yes","Other (please specify)","some kind of lentil or vegetable stew","Other (please specify)","stovetop","None",NA,"Homemade",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"No","Thanksgiving is local--it will take place in the town I live in",NA,"10 or younger","No","No","No","No",NA,"Urban","30 - 44","Female","$25,000 to $49,999","Pacific"
"32",4337772493,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 - 44","Male","Prefer not to answer","West South Central"
"33",4337772193,"Yes","Turkey",NA,"Baked",NA,"None",NA,"Homemade",NA,"Yes","Brussel sprouts",NA,NA,"Corn","Cornbread",NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,"Vegetable salad","Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,"Peach",NA,"Pumpkin",NA,NA,NA,NA,"Apple cobbler",NA,"Brownies",NA,NA,"Cookies",NA,NA,"Peach cobbler",NA,NA,NA,"No","Thanksgiving is local--it will take place in the town I live in","Macy's Parade","10 or younger","No","No","Yes","No",NA,"Urban","18 - 29","Male","Prefer not to answer","Pacific"
"34",4337771439,"Yes","Tofurkey",NA,"Baked",NA,"Bread-based",NA,"Homemade",NA,"Yes","Brussel sprouts","Carrots",NA,"Corn","Cornbread",NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,NA,NA,"Apple cobbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"10 or younger","Yes","No","No","No",NA,"Suburban","30 - 44","Male","$50,000 to $74,999","Middle Atlantic"
"35",4337763296,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"None",NA,"Yes",NA,NA,NA,NA,NA,NA,"Green beans/green bean casserole","Macaroni and cheese",NA,"Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,"Chocolate",NA,NA,NA,"Pecan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peach cobbler",NA,NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in",NA,"12","Yes","No","Yes","No",NA,"Urban","30 - 44","Male","$25,000 to $49,999","South Atlantic"
"36",4337759901,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 - 44","Male","$25,000 to $49,999","New England"
"37",4337758789,"Yes","Turkey",NA,"Roasted",NA,"Bread-based",NA,"None",NA,"Yes",NA,NA,NA,NA,NA,NA,"Green beans/green bean casserole",NA,"Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pecan","Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,"Yes","Thanksgiving is out of town and far away--I have to drive several hours or fly","Macy's Parade","10 or younger","Yes","Yes","No","No",NA,"Urban","30 - 44","Male","$50,000 to $74,999","East South Central"
"38",4337747968,"Yes","Turkey",NA,"I don't know",NA,"Bread-based",NA,"Homemade",NA,"Yes",NA,"Carrots","Cauliflower","Corn","Cornbread",NA,"Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,"Chocolate","Coconut cream","Key lime",NA,"Pecan","Pumpkin","Sweet Potato",NA,NA,NA,NA,"Blondies","Brownies","Carrot cake","Cheesecake","Cookies","Fudge","Ice cream","Peach cobbler",NA,NA,NA,"No","Thanksgiving is local--it will take place in the town I live in",NA,"14","No","No","No","Yes","Yes","Suburban","18 - 29","Male","Prefer not to answer","New England"
"39",4337743121,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Canned",NA,"Yes","Brussel sprouts",NA,NA,"Corn",NA,NA,NA,"Macaroni and cheese","Mashed potatoes","Rolls/biscuits",NA,NA,NA,NA,NA,"Apple",NA,NA,NA,"Coconut cream",NA,NA,"Pecan","Pumpkin","Sweet Potato",NA,NA,NA,"Apple cobbler",NA,NA,NA,"Cheesecake",NA,NA,NA,"Peach cobbler",NA,NA,NA,"Yes","Thanksgiving is local--it will take place in the town I live in","Macy's Parade","18","Yes","No","No","No",NA,"Suburban","18 - 29","Male","$25,000 to $49,999","Pacific"
"40",4337732348,"Yes","Ham/Pork",NA,"Roasted",NA,"Bread-based",NA,"Homemade",NA,"Yes",NA,"Carrots",NA,"Corn","Cornbread",NA,NA,NA,"Mashed potatoes","Rolls/biscuits","Squash",NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,"Chocolate",NA,NA,"Peach",NA,"Pumpkin",NA,NA,NA,NA,"Apple cobbler",NA,"Brownies",NA,NA,NA,NA,"Ice cream","Peach cobbler",NA,NA,NA,"Yes","Thanksgiving is happening at my home--I won't travel at all",NA,"10 or younger","No","No","No","No",NA,"Rural","18 - 29","Male","$200,000 and up","West South Central"
"41",4337731242,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"None",NA,"Yes",NA,"Carrots",NA,NA,"Cornbread","Fruit salad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buttermilk",NA,NA,NA,NA,NA,"Pecan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cookies",NA,NA,"Peach cobbler",NA,NA,NA,"Yes","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"13","No","No","No","Yes","No","Urban","18 - 29","Male","$200,000 and up","West North Central"
"42",4337725725,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18 - 29","Male","$0 to $9,999","West South Central"
"43",4337719588,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Homemade",NA,"Yes",NA,NA,NA,"Corn",NA,NA,"Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes",NA,"Squash",NA,"Yams/sweet potato casserole",NA,NA,NA,NA,NA,"Chocolate",NA,NA,NA,"Pecan","Pumpkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cookies",NA,NA,NA,NA,NA,NA,"Yes","Thanksgiving is out of town but not too far--it's a drive of a few hours or less",NA,"16","No","No","No","Yes","Yes","Suburban","30 - 44","Male","$75,000 to $99,999","Middle Atlantic"
"44",4337698969,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Canned",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Mashed potatoes","Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pumpkin",NA,NA,"Other (please specify)","Strawberry Rhubarb",NA,NA,NA,NA,NA,NA,NA,"Ice cream",NA,NA,NA,NA,"Yes","Thanksgiving is happening at my home--I won't travel at all","Macy's Parade","12","No","No","No","No",NA,"Suburban","30 - 44","Male","Prefer not to answer","Mountain"
"45",4337698743,"Yes","Turkey",NA,"Baked",NA,"Bread-based",NA,"Homemade",NA,"Yes",NA,NA,"Cauliflower","Corn",NA,NA,"Green beans/green bean casserole",NA,NA,"Rolls/biscuits",NA,NA,"Yams/sweet potato casserole",NA,NA,"Apple",NA,NA,NA,NA,NA,NA,NA,"Pumpkin","Sweet Potato",NA,NA,NA,NA,NA,NA,NA,"Cheesecake","Cookies",NA,"Ice cream",NA,NA,NA,NA,"Yes","Thanksgiving is out of town and far away--I have to drive several hours or fly",NA,"12","Yes","No","No","No",NA,"Rural","18 - 29","Male","$50,000 to $74,999","Middle Atlantic"
